TOUCH_KIND: 3
1 @ {221, 303} @ 82257.956291
1 @ {220.5, 302.5} @ 82257.973103
1 @ {220.5, 298} @ 82258.006239
3 @ {220, 296} @ 82258.022908
TOUCH_KIND: 3
0 @ {192, 501} @ 82262.556338
1 @ {188.5, 486.5} @ 82262.589606
1 @ {187.5, 471.5} @ 82262.606237
1 @ {187.5, 467.5} @ 82262.622984
1 @ {187.5, 466} @ 82262.639772
1 @ {187.5, 465} @ 82262.656261
1 @ {189.5, 450.5} @ 82262.672871
1 @ {195, 439.5} @ 82262.689619
3 @ {197, 437.5} @ 82262.706165
TOUCH_KIND: 3
0 @ {218.5, 394.5} @ 82264.722954
1 @ {209.5, 364.5} @ 82264.789696
1 @ {207, 359.5} @ 82264.806633
1 @ {205.5, 358} @ 82264.822999
1 @ {205.5, 356.5} @ 82264.839765
1 @ {204.5, 341} @ 82264.856214
1 @ {204, 334} @ 82264.872854
3 @ {207.5, 328.5} @ 82264.889605
TOUCH_KIND: 3
0 @ {165, 353} @ 82267.272961
1 @ {165.5, 344} @ 82267.306146
1 @ {170.5, 328} @ 82267.322977
1 @ {172, 325} @ 82267.339775
1 @ {173.5, 323.5} @ 82267.356315
1 @ {176.5, 319} @ 82267.372877
1 @ {181, 308.5} @ 82267.389695
1 @ {183.5, 300} @ 82267.406192
1 @ {184.5, 295} @ 82267.422988
3 @ {189.5, 290.5} @ 82267.439667
TOUCH_KIND: 3
0 @ {169.5, 327.5} @ 82269.272903
1 @ {167, 295.5} @ 82269.289993
1 @ {166.5, 294} @ 82269.306535
1 @ {166.5, 293} @ 82269.322982
1 @ {166.5, 293.5} @ 82269.339768
1 @ {166.5, 290} @ 82269.356240
1 @ {167.5, 271.5} @ 82269.372843
1 @ {168.5, 266} @ 82269.389553
3 @ {173, 259} @ 82269.406124
TOUCH_KIND: 3
0 @ {198.5, 302.5} @ 82272.039755
1 @ {207, 281.5} @ 82272.056494
1 @ {208.5, 278} @ 82272.073158
1 @ {209.5, 277.5} @ 82272.089724
1 @ {210, 277.5} @ 82272.106279
1 @ {211, 277} @ 82272.122958
1 @ {218.5, 267} @ 82272.139742
1 @ {225, 260} @ 82272.156212
3 @ {227, 258} @ 82272.172795
TOUCH_KIND: 3
0 @ {62.5, 359} @ 82274.022977
1 @ {62, 330.5} @ 82274.074005
1 @ {62, 326.5} @ 82274.089967
1 @ {62, 312} @ 82274.106177
1 @ {64, 299.5} @ 82274.122797
3 @ {73, 292.5} @ 82274.139621
TOUCH_KIND: 3
0 @ {218, 337} @ 82275.840802
1 @ {218.5, 311.5} @ 82275.856654
1 @ {219, 305} @ 82275.873230
1 @ {219.5, 302.5} @ 82275.889675
1 @ {220, 295} @ 82275.906439
1 @ {222, 281} @ 82275.922789
3 @ {227.5, 271} @ 82275.939677
TOUCH_KIND: 3
0 @ {122.5, 319} @ 82277.523276
1 @ {136.5, 293} @ 82277.589599
1 @ {144, 286.5} @ 82277.606526
1 @ {156.5, 271} @ 82277.622815
1 @ {161.5, 263.5} @ 82277.639652
1 @ {164, 259.5} @ 82277.656136
3 @ {166, 257.5} @ 82277.672746
TOUCH_KIND: 3
0 @ {251.5, 338} @ 82279.172912
1 @ {247.5, 306.5} @ 82279.256300
1 @ {247.5, 302} @ 82279.273276
1 @ {247.5, 299.5} @ 82279.289822
1 @ {246.5, 294.5} @ 82279.306337
1 @ {246.5, 284} @ 82279.322860
1 @ {246.5, 277.5} @ 82279.339676
3 @ {248.5, 275.5} @ 82279.356120
TOUCH_KIND: 3
0 @ {52, 259} @ 82281.539597
1 @ {67.5, 241} @ 82281.590673
1 @ {76.5, 238.5} @ 82281.606682
1 @ {86.5, 230} @ 82281.622815
3 @ {88.5, 228} @ 82281.639372
TOUCH_KIND: 3
0 @ {248, 334.5} @ 82283.873146
1 @ {253, 346} @ 82283.890031
1 @ {253, 349.5} @ 82283.906632
1 @ {253.5, 350.5} @ 82283.923041
1 @ {254.5, 350.5} @ 82283.939676
1 @ {252.5, 319.5} @ 82283.956321
3 @ {252.5, 317.5} @ 82283.972956
TOUCH_KIND: 3
0 @ {197, 359} @ 82285.889760
1 @ {198, 337} @ 82285.906425
1 @ {198.5, 333.5} @ 82285.923179
1 @ {199, 332} @ 82285.939715
1 @ {204, 324} @ 82285.956368
1 @ {210, 315.5} @ 82285.972829
3 @ {212, 313.5} @ 82285.989607
TOUCH_KIND: 3
0 @ {184.5, 387} @ 82292.206377
1 @ {190.5, 362} @ 82292.239692
1 @ {192.5, 357.5} @ 82292.256723
1 @ {194.5, 355.5} @ 82292.272996
1 @ {197.5, 350.5} @ 82292.289510
1 @ {202.5, 340} @ 82292.306405
3 @ {204.5, 338} @ 82292.322844
TOUCH_KIND: 3
0 @ {253.5, 372} @ 82293.989572
1 @ {257, 343.5} @ 82294.039579
1 @ {260, 337} @ 82294.056626
1 @ {263, 329.5} @ 82294.072984
1 @ {265.5, 321.5} @ 82294.089488
1 @ {267.5, 309.5} @ 82294.106389
3 @ {269.5, 307.5} @ 82294.122763
TOUCH_KIND: 3
0 @ {126, 308.5} @ 82295.506429
1 @ {132, 324} @ 82295.589834
1 @ {136, 335.5} @ 82295.606413
3 @ {138, 337.5} @ 82295.622968
TOUCH_KIND: 3
0 @ {186.5, 363.5} @ 82297.222874
1 @ {188.5, 334} @ 82297.289688
1 @ {189.5, 330.5} @ 82297.306502
1 @ {190, 328.5} @ 82297.322975
1 @ {191, 327.5} @ 82297.339763
1 @ {193.5, 322} @ 82297.356303
3 @ {198.5, 316} @ 82297.372794
TOUCH_KIND: 3
0 @ {264.5, 368} @ 82298.689627
1 @ {264.5, 358} @ 82298.739576
1 @ {264, 343.5} @ 82298.756741
1 @ {263.5, 340} @ 82298.773029
1 @ {263.5, 338.5} @ 82298.789675
1 @ {263, 335} @ 82298.806459
1 @ {260, 306.5} @ 82298.822987
3 @ {258, 304.5} @ 82298.839425
TOUCH_KIND: 3
0 @ {139.5, 342.5} @ 82300.239720
1 @ {141, 318.5} @ 82300.256977
1 @ {141, 313.5} @ 82300.273237
1 @ {141.5, 313} @ 82300.289789
1 @ {141.5, 312.5} @ 82300.306379
1 @ {145.5, 340.5} @ 82300.339674
3 @ {150.5, 346.5} @ 82300.356201
TOUCH_KIND: 3
0 @ {173.5, 439.5} @ 82304.306384
1 @ {180.5, 430} @ 82304.339653
1 @ {183.5, 416.5} @ 82304.356568
1 @ {184.5, 409.5} @ 82304.372987
1 @ {186, 404.5} @ 82304.389638
3 @ {188, 402.5} @ 82304.405988
TOUCH_KIND: 3
0 @ {278.5, 411} @ 82305.906430
1 @ {267, 380} @ 82305.972909
1 @ {265.5, 376.5} @ 82305.990141
1 @ {265.5, 375} @ 82306.006467
1 @ {265.5, 373.5} @ 82306.023113
1 @ {266, 369.5} @ 82306.039623
1 @ {276, 337} @ 82306.056389
3 @ {276, 335} @ 82306.072726
TOUCH_KIND: 3
0 @ {195, 405.5} @ 82308.206257
1 @ {194, 382.5} @ 82308.272910
1 @ {194, 378} @ 82308.289952
1 @ {197, 360.5} @ 82308.306291
1 @ {198.5, 346.5} @ 82308.322828
3 @ {205.5, 340} @ 82308.339605
TOUCH_KIND: 3
0 @ {265.5, 388.5} @ 82310.840674
1 @ {264.5, 360} @ 82310.856650
1 @ {265, 355} @ 82310.873183
1 @ {265.5, 353.5} @ 82310.889633
1 @ {265.5, 339} @ 82310.906382
1 @ {266, 326.5} @ 82310.922809
3 @ {268, 319} @ 82310.939482
TOUCH_KIND: 3
0 @ {145, 367.5} @ 82312.589684
1 @ {151, 342.5} @ 82312.656365
1 @ {152.5, 338} @ 82312.673274
1 @ {153.5, 335.5} @ 82312.689662
1 @ {155, 332.5} @ 82312.706472
1 @ {166.5, 295} @ 82312.723172
3 @ {166.5, 293} @ 82312.739539
TOUCH_KIND: 3
0 @ {269, 303.5} @ 82314.256390
1 @ {264, 271} @ 82314.323015
1 @ {263, 265.5} @ 82314.339928
1 @ {263, 263} @ 82314.356346
1 @ {263, 262} @ 82314.373127
1 @ {263, 255.5} @ 82314.389658
1 @ {263, 230.5} @ 82314.406287
3 @ {263, 228.5} @ 82314.422833
TOUCH_KIND: 3
0 @ {95, 235.5} @ 82315.906238
1 @ {108.5, 214} @ 82315.972916
1 @ {112.5, 211.5} @ 82315.990044
1 @ {115.5, 211} @ 82316.006306
1 @ {125.5, 200.5} @ 82316.022856
1 @ {135.5, 186} @ 82316.039641
3 @ {137.5, 184} @ 82316.056121
TOUCH_KIND: 3
0 @ {270.5, 248.5} @ 82317.339613
1 @ {267, 225} @ 82317.373049
1 @ {266.5, 221.5} @ 82317.389940
1 @ {266.5, 220.5} @ 82317.406326
1 @ {267, 217} @ 82317.423113
1 @ {267, 201} @ 82317.439511
1 @ {268.5, 188.5} @ 82317.456197
3 @ {271, 186.5} @ 82317.472799
TOUCH_KIND: 3
0 @ {199, 326} @ 82318.789633
1 @ {195, 319.5} @ 82318.822815
1 @ {195, 316.5} @ 82318.839895
1 @ {195, 315.5} @ 82318.856259
1 @ {195, 311.5} @ 82318.872843
1 @ {193.5, 292} @ 82318.889756
1 @ {193.5, 287.5} @ 82318.906327
1 @ {193.5, 285} @ 82318.922988
1 @ {193.5, 279} @ 82318.939772
1 @ {196, 245} @ 82318.956435
3 @ {196, 243} @ 82318.972893
TOUCH_KIND: 3
0 @ {183.5, 339.5} @ 82321.423029
1 @ {171.5, 324} @ 82321.456226
1 @ {166, 318} @ 82321.473112
1 @ {164.5, 316.5} @ 82321.489573
1 @ {162, 313} @ 82321.506213
1 @ {157, 304} @ 82321.523043
1 @ {156.5, 295.5} @ 82321.539551
3 @ {155, 293.5} @ 82321.556128
TOUCH_KIND: 3
0 @ {180, 355} @ 82323.156203
1 @ {185, 339} @ 82323.189688
1 @ {193, 329} @ 82323.206528
1 @ {195.5, 327} @ 82323.223023
1 @ {198, 325} @ 82323.239783
1 @ {216, 295} @ 82323.256235
3 @ {218, 293} @ 82323.272753
TOUCH_KIND: 3
0 @ {300, 271.5} @ 82325.372976
1 @ {284.5, 251} @ 82325.439645
1 @ {282.5, 248} @ 82325.456564
1 @ {278.5, 243.5} @ 82325.472981
1 @ {273.5, 233} @ 82325.489659
3 @ {271.5, 231} @ 82325.506089
TOUCH_KIND: 3
0 @ {146.5, 358.5} @ 82326.822923
1 @ {138.5, 330.5} @ 82326.856355
1 @ {137.5, 327} @ 82326.873208
1 @ {137, 325.5} @ 82326.889648
1 @ {137, 319} @ 82326.906434
1 @ {137, 308.5} @ 82326.922966
3 @ {138.5, 306.5} @ 82326.939456
TOUCH_KIND: 3
0 @ {211, 325} @ 82328.239719
1 @ {210.5, 298} @ 82328.272931
1 @ {211.5, 293.5} @ 82328.290004
1 @ {212, 292} @ 82328.306373
1 @ {213.5, 287} @ 82328.322995
3 @ {219.5, 263.5} @ 82328.339680
TOUCH_KIND: 3
0 @ {255.5, 328.5} @ 82329.572979
1 @ {235.5, 310.5} @ 82329.606298
1 @ {232.5, 308.5} @ 82329.623155
1 @ {231, 308} @ 82329.639644
1 @ {223.5, 304.5} @ 82329.656401
1 @ {206, 289} @ 82329.672868
1 @ {204.5, 273} @ 82329.689510
3 @ {203.5, 270.5} @ 82329.706131
TOUCH_KIND: 3
0 @ {89.5, 365} @ 82331.139596
1 @ {92.5, 340} @ 82331.189591
1 @ {93.5, 336.5} @ 82331.206661
1 @ {100, 319.5} @ 82331.222832
1 @ {102.5, 307} @ 82331.239453
3 @ {107, 299} @ 82331.256487
TOUCH_KIND: 3
0 @ {256.5, 340.5} @ 82333.572832
1 @ {254, 315.5} @ 82333.606270
1 @ {255, 311.5} @ 82333.623233
1 @ {255, 305} @ 82333.639761
